#taxaorder:C,d1,d2,e1,e2,f1,f2
2,3,3,1,1,4,5
1,2,3,4,4,5,5
1,2,2,3,3,4,4
2,3,3,1,1,4,5
1,2,2,3,3,4,4
2,3,3,1,1,4,5
3,4,4,1,1,2,2
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,2,2,3,3,4,5
2,3,3,1,1,4,5
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,1,1,2,2,3,3
3,4,4,1,1,2,2
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,4,5,2,3,6,7
1,2,2,4,5,3,3
1,2,2,3,3,4,4
1,2,2,3,3,4,4
3,4,4,1,1,2,2
1,2,2,3,3,4,4
3,4,5,1,1,2,2
2,3,3,4,5,1,1
3,4,4,1,1,2,2
4,5,5,2,3,1,1
3,4,4,1,1,2,2
3,4,4,1,1,2,2
3,4,4,1,1,2,2
1,4,5,2,2,3,3
1,2,2,3,3,4,4
2,3,3,1,1,1,1
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,2,2,3,3,4,5
1,5,6,2,2,3,4
2,3,3,1,1,4,5
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,2,2,3,3,4,4
1,1,1,2,2,3,3
1,2,2,3,3,4,5
1,2,2,3,3,4,4
1,2,2,3,3,4,4
2,3,3,1,1,4,5
5,6,6,3,4,1,2
3,4,5,1,1,2,2
1,2,2,3,3,4,4
3,4,5,1,1,2,2
3,4,5,1,1,2,2
1,2,2,3,3,4,5
1,2,2,3,3,4,5
1,2,2,3,3,4,4
1,2,2,5,6,3,4
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,2,3,4,4,5,5
3,4,4,1,1,2,2
2,3,3,4,5,1,1
1,2,2,3,3,4,4
3,4,4,1,1,2,2
1,4,5,2,2,3,3
3,4,4,1,1,2,2
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,2,2,3,3,4,5
1,2,2,3,3,4,4
3,4,4,1,1,2,2
1,2,2,3,3,4,5
1,2,2,3,3,4,4
1,2,2,3,3,4,4
1,2,2,3,3,4,4
3,4,4,1,1,2,2
1,2,2,3,3,4,4
1,5,6,2,2,3,4
1,4,5,2,2,3,3
3,4,4,1,2,5,6
1,2,2,3,3,4,4
1,2,2,3,3,4,4
1,2,2,4,5,3,3
2,3,3,1,1,1,1
1,2,2,3,3,4,4
1,1,1,2,2,2,2
3,4,5,1,1,2,2
1,2,2,3,3,4,5
2,3,3,4,5,1,1
1,2,2,3,3,4,5
1,2,2,3,3,4,4
1,1,1,3,4,2,2
3,4,4,1,1,2,2
